Row1		Row2		Row3		OffsetFromBar	Ash_AM	m
0.890000	1.700000	0.000000	0.000000
Left_GPS_X	Left_GPS_Y	Right_GPS_X	Right_GPS_Y
0.00	0.00	2.46	0.00
Index	Left_UTCTime 	Left_Latitude	Left_Longitude	Left_Elevation	Left_TI	Left_TS	Right_UTCTime	Right_Latitude	Right_Longitude	Right_Elevation	Right_TI	Right_TS	Write_TS
131844.549-1.0000000000	181839.0000000000	3907.9772409996	9637.1512059989	312.4200000000	76054.0000000000	76311.0000000000	181839.0000000000	3907.9771929996	9637.1494979989	312.3600000000	76074.0000000000	76282.0000000000	76216.0000000000
131844.644-2.0000000000	181839.2000000000	3907.9772419996	9637.1512059989	312.4200000000	76311.0000000000	76422.0000000000	181839.2000000000	3907.9771939996	9637.1494989989	312.3600000000	76282.0000000000	76490.0000000000	76311.0000000000
131844.823-3.0000000000	181839.4000000000	3907.9772419996	9637.1512049989	312.4300000000	76422.0000000000	76918.0000000000	181839.4000000000	3907.9771949996	9637.1494989989	312.3700000000	76490.0000000000	76697.0000000000	76490.0000000000
131845.251-4.0000000000	181839.6000000000	3907.9772429996	9637.1512059989	312.4200000000	76918.0000000000	76935.0000000000	181839.6000000000	3907.9771949996	9637.1494989989	312.3600000000	76697.0000000000	76890.0000000000	76918.0000000000
131845.268-5.0000000000	181839.8000000000	3907.9772429996	9637.1512049989	312.4300000000	77000.0000000000	77079.0000000000	181839.8000000000	3907.9771969996	9637.1494979989	312.3700000000	76890.0000000000	77097.0000000000	76935.0000000000
131845.430-6.0000000000	181840.0000000000	3907.9772429996	9637.1512049989	312.4300000000	77100.0000000000	77239.0000000000	181840.0000000000	3907.9771949996	9637.1494989989	312.3700000000	77097.0000000000	77210.0000000000	77097.0000000000
131845.572-7.0000000000	181840.2000000000	3907.9772429996	9637.1512039989	312.4300000000	77239.0000000000	77462.0000000000	181840.2000000000	3907.9771949996	9637.1494999989	312.3700000000	77210.0000000000	77417.0000000000	77239.0000000000
131845.795-8.0000000000	181840.4000000000	3907.9772429996	9637.1512029989	312.4300000000	77462.0000000000	77622.0000000000	181840.4000000000	3907.9771949996	9637.1494989989	312.3600000000	77417.0000000000	77625.0000000000	77462.0000000000
131845.958-9.0000000000	181840.6000000000	3907.9772429996	9637.1512039989	312.4300000000	77622.0000000000	77943.0000000000	181840.6000000000	3907.9771959996	9637.1494969989	312.3700000000	77625.0000000000	77834.0000000000	77625.0000000000
131846.276-10.0000000000	181840.8000000000	3907.9772419996	9637.1512039989	312.4300000000	77943.0000000000	78054.0000000000	181840.8000000000	3907.9771949996	9637.1494979989	312.3700000000	77834.0000000000	78041.0000000000	77943.0000000000
131846.387-11.0000000000	181841.0000000000	3907.9772439996	9637.1512029989	312.4300000000	78054.0000000000	78263.0000000000	181841.0000000000	3907.9771959996	9637.1494959989	312.3700000000	78041.0000000000	78234.0000000000	78054.0000000000
131846.596-12.0000000000	181841.2000000000	3907.9772429996	9637.1512049989	312.4300000000	78263.0000000000	78487.0000000000	181841.2000000000	3907.9771959996	9637.1494969989	312.3700000000	78234.0000000000	78442.0000000000	78263.0000000000
131846.820-13.0000000000	181841.4000000000	3907.9772409996	9637.1512059989	312.4200000000	78487.0000000000	78647.0000000000	181841.4000000000	3907.9771929996	9637.1494969989	312.3600000000	78442.0000000000	78649.0000000000	78487.0000000000
