Row1		Row2		Row3		OffsetFromBar	Ash_AM	m
0.890000	1.700000	0.000000	-0.280000
GS 1 X	GS 1 Y	GS 2 X	GS 2 Y	GS 3 X	GS 3 Y
0.89	-0.28	1.70	-0.28	0.00	0.00
GS 1 ID	GS 2 ID	GS 3 ID
GSK_5239J00111	GSK_5239J00113	
Index	Left_UTCTime 	Left_Elevation	Left_Latitude	Left_Longitude	Row1NDVI	Row1ExtraVI	Row1GSTS	Row1TI	Row1TS	Row2NDVI	Row2ExtraVI	Row2GSTS	Row2TI	Row2TS	Right_UTCTime	Right_Elevation	Right_Latitude	Right_Longitude	Write_TS
1.0000000000	181846.0000000000	312.4200000000	3907.9772419996	9637.1512069989	0.3030000000	0.5350000000	7185.0000000000	83253.0000000000	83381.0000000000	0.7260000000	0.7260000000	7185.0000000000	83237.0000000000	83366.0000000000	181846.0000000000	312.3600000000	3907.9771939996	9637.1494999989	83260.0000000000
2.0000000000	181846.0000000000	312.4200000000	3907.9772419996	9637.1512069989	0.4070000000	0.4210000000	7308.0000000000	83381.0000000000	83494.0000000000	0.8260000000	0.8260000000	7308.0000000000	83366.0000000000	83494.0000000000	181846.0000000000	312.3600000000	3907.9771939996	9637.1494999989	83381.0000000000
3.0000000000	181846.2000000000	312.4200000000	3907.9772409996	9637.1512059989	0.4220000000	0.4070000000	7431.0000000000	83494.0000000000	83621.0000000000	0.7030000000	0.7030000000	7431.0000000000	83494.0000000000	83606.0000000000	181846.0000000000	312.3600000000	3907.9771939996	9637.1494999989	83494.0000000000
4.0000000000	181846.2000000000	312.4200000000	3907.9772409996	9637.1512059989	0.3330000000	0.5000000000	7554.0000000000	83621.0000000000	83750.0000000000	0.7010000000	0.7010000000	7554.0000000000	83606.0000000000	83734.0000000000	181846.2000000000	312.3600000000	3907.9771939996	9637.1494979989	83621.0000000000
5.0000000000	181846.2000000000	312.4200000000	3907.9772409996	9637.1512059989	0.3980000000	0.4300000000	7677.0000000000	83750.0000000000	83877.0000000000	0.8160000000	0.8160000000	7677.0000000000	83734.0000000000	83861.0000000000	181846.4000000000	312.3600000000	3907.9771949996	9637.1494979989	83750.0000000000
6.0000000000	181846.4000000000	312.4200000000	3907.9772409996	9637.1512059989	0.5120000000	0.3230000000	7800.0000000000	83877.0000000000	83990.0000000000	0.8620000000	0.8620000000	7800.0000000000	83861.0000000000	83974.0000000000	181846.6000000000	312.3600000000	3907.9771949996	9637.1494979989	83877.0000000000
7.0000000000	181846.6000000000	312.4300000000	3907.9772409996	9637.1512059989	0.4080000000	0.4200000000	7923.0000000000	83990.0000000000	84117.0000000000	0.7350000000	0.7350000000	7923.0000000000	83974.0000000000	84101.0000000000	181846.6000000000	312.3600000000	3907.9771949996	9637.1494979989	83990.0000000000
8.0000000000	181846.8000000000	312.4200000000	3907.9772429996	9637.1512049989	0.4420000000	0.3870000000	8046.0000000000	84117.0000000000	84245.0000000000	0.8460000000	0.8460000000	8046.0000000000	84101.0000000000	84230.0000000000	181846.8000000000	312.3600000000	3907.9771949996	9637.1494979989	84117.0000000000
9.0000000000	181846.8000000000	312.4200000000	3907.9772429996	9637.1512049989	0.4980000000	0.3350000000	8169.0000000000	84245.0000000000	84357.0000000000	0.8650000000	0.8650000000	8169.0000000000	84230.0000000000	84356.0000000000	181846.8000000000	312.3600000000	3907.9771949996	9637.1494979989	84245.0000000000
10.0000000000	181847.0000000000	312.4200000000	3907.9772409996	9637.1512059989	0.4180000000	0.4100000000	8292.0000000000	84357.0000000000	84485.0000000000	0.7620000000	0.7620000000	8292.0000000000	84357.0000000000	84468.0000000000	181847.0000000000	312.3600000000	3907.9771949996	9637.1494979989	84357.0000000000
11.0000000000	181847.2000000000	312.4200000000	3907.9772399996	9637.1512049989	0.3830000000	0.4460000000	8415.0000000000	84485.0000000000	84612.0000000000	0.7690000000	0.7690000000	8415.0000000000	84469.0000000000	84596.0000000000	181847.2000000000	312.3600000000	3907.9771939996	9637.1494969989	84485.0000000000
12.0000000000	181847.2000000000	312.4200000000	3907.9772399996	9637.1512049989	0.5190000000	0.3170000000	8538.0000000000	84613.0000000000	84740.0000000000	0.8480000000	0.8480000000	8538.0000000000	84597.0000000000	84725.0000000000	181847.2000000000	312.3600000000	3907.9771939996	9637.1494969989	84613.0000000000
13.0000000000	181847.4000000000	312.4200000000	3907.9772399996	9637.1512049989	0.5120000000	0.3220000000	8661.0000000000	84741.0000000000	84852.0000000000	0.8510000000	0.8510000000	8661.0000000000	84725.0000000000	84852.0000000000	181847.4000000000	312.3600000000	3907.9771919996	9637.1494989989	84741.0000000000
14.0000000000	181847.6000000000	312.4200000000	3907.9772399996	9637.1512049989	0.4130000000	0.4150000000	8784.0000000000	84853.0000000000	84980.0000000000	0.7910000000	0.7910000000	8784.0000000000	84853.0000000000	84965.0000000000	181847.4000000000	312.3600000000	3907.9771919996	9637.1494989989	84853.0000000000
15.0000000000	181847.6000000000	312.4200000000	3907.9772399996	9637.1512049989	0.4230000000	0.4050000000	8907.0000000000	84980.0000000000	85109.0000000000	0.7820000000	0.7820000000	8907.0000000000	84965.0000000000	85092.0000000000	181847.6000000000	312.3600000000	3907.9771929996	9637.1494999989	84980.0000000000
16.0000000000	181847.8000000000	312.4200000000	3907.9772409996	9637.1512049989	0.4930000000	0.3400000000	9030.0000000000	85109.0000000000	85236.0000000000	0.8770000000	0.8770000000	9030.0000000000	85092.0000000000	85220.0000000000	181847.8000000000	312.3600000000	3907.9771919996	9637.1494989989	85109.0000000000
17.0000000000	181848.0000000000	312.4200000000	3907.9772399996	9637.1512059989	0.5090000000	0.3260000000	9153.0000000000	85236.0000000000	85349.0000000000	0.8210000000	0.8210000000	9153.0000000000	85220.0000000000	85349.0000000000	181847.8000000000	312.3600000000	3907.9771919996	9637.1494989989	85236.0000000000
18.0000000000	181848.0000000000	312.4200000000	3907.9772399996	9637.1512059989	0.4600000000	0.3700000000	9276.0000000000	85349.0000000000	85476.0000000000	0.7590000000	0.7590000000	9276.0000000000	85349.0000000000	85460.0000000000	181848.0000000000	312.3600000000	3907.9771929996	9637.1494979989	85349.0000000000
19.0000000000	181848.2000000000	312.4200000000	3907.9772409996	9637.1512049989	0.4670000000	0.3630000000	9399.0000000000	85476.0000000000	85604.0000000000	0.8260000000	0.8260000000	9399.0000000000	85460.0000000000	85589.0000000000	181848.0000000000	312.3600000000	3907.9771929996	9637.1494979989	85476.0000000000
20.0000000000	181848.2000000000	312.4200000000	3907.9772409996	9637.1512049989	0.5210000000	0.3150000000	9522.0000000000	85604.0000000000	85733.0000000000	0.8420000000	0.8420000000	9522.0000000000	85589.0000000000	85716.0000000000	181848.2000000000	312.3600000000	3907.9771929996	9637.1494989989	85604.0000000000
21.0000000000	181848.4000000000	312.4200000000	3907.9772409996	9637.1512039989	0.5200000000	0.3160000000	9645.0000000000	85733.0000000000	85844.0000000000	0.8200000000	0.8200000000	9645.0000000000	85716.0000000000	85844.0000000000	181848.4000000000	312.3600000000	3907.9771929996	9637.1494979989	85733.0000000000
22.0000000000	181848.4000000000	312.4200000000	3907.9772409996	9637.1512039989	0.4620000000	0.3680000000	9768.0000000000	85844.0000000000	85973.0000000000	0.7890000000	0.7890000000	9768.0000000000	85844.0000000000	85957.0000000000	181848.4000000000	312.3600000000	3907.9771929996	9637.1494979989	85844.0000000000
23.0000000000	181848.6000000000	312.4200000000	3907.9772389996	9637.1512049989	0.4950000000	0.3380000000	9891.0000000000	85973.0000000000	86100.0000000000	0.8380000000	0.8380000000	9891.0000000000	85957.0000000000	86084.0000000000	181848.6000000000	312.3600000000	3907.9771939996	9637.1494999989	85973.0000000000
24.0000000000	181848.8000000000	312.4200000000	3907.9772379996	9637.1512049989	0.5270000000	0.3100000000	10014.0000000000	86100.0000000000	86228.0000000000	0.8680000000	0.8680000000	10014.0000000000	86084.0000000000	86213.0000000000	181848.6000000000	312.3600000000	3907.9771939996	9637.1494999989	86100.0000000000
25.0000000000	181849.0000000000	312.4200000000	3907.9772409996	9637.1512049989	0.5180000000	0.3180000000	10137.0000000000	86228.0000000000	86340.0000000000	0.8470000000	0.8470000000	10137.0000000000	86213.0000000000	86324.0000000000	181849.0000000000	312.3700000000	3907.9771929996	9637.1494979989	86228.0000000000
26.0000000000	181849.0000000000	312.4200000000	3907.9772409996	9637.1512049989	0.4660000000	0.3640000000	10260.0000000000	86340.0000000000	86468.0000000000	0.8020000000	0.8020000000	10260.0000000000	86324.0000000000	86452.0000000000	181849.0000000000	312.3700000000	3907.9771929996	9637.1494979989	86340.0000000000
27.0000000000	181849.2000000000	312.4200000000	3907.9772399996	9637.1512039989	0.5150000000	0.3200000000	10383.0000000000	86468.0000000000	86596.0000000000	0.8480000000	0.8480000000	10383.0000000000	86452.0000000000	86581.0000000000	181849.2000000000	312.3600000000	3907.9771929996	9637.1494969989	86468.0000000000
28.0000000000	181849.2000000000	312.4200000000	3907.9772399996	9637.1512039989	0.4840000000	0.3480000000	10506.0000000000	86596.0000000000	86709.0000000000	-9.3000000000	-9.4000000000	10505.0000000000	86581.0000000000	86709.0000000000	181849.2000000000	312.3600000000	3907.9771929996	9637.1494969989	86596.0000000000
29.0000000000	181849.2000000000	312.4200000000	3907.9772399996	9637.1512039989	0.5160000000	0.3190000000	10629.0000000000	86709.0000000000	86837.0000000000	0.8370000000	0.8370000000	10629.0000000000	86709.0000000000	86821.0000000000	181849.4000000000	312.3600000000	3907.9771939996	9637.1494979989	86709.0000000000
