sensor_ID	sensor_observation	absolute_sensor_position_x	absolute_sensor_position_y	absolute_sensor_position_z	sampling_time_utc	sampling_date	left_utc	left_elevation	left_long	left_lat	long_zone	lat_zone	left_utm_x	left_utm_y	right_utc	right_elevation	right_long	right_lat	right_utm_x	right_utm_y	sensor_offset_x_from_left_gps	sensor_offset_y_from_left_gps	sensor_offset_z_from_left_gps	sensor_observation_2	sensor_observation_3	sensor_observation_4	sensor_observation_5
CCL_AC000304	0.56700	705786.3429	4334230.5596	312.39	18:19:02.2	2015/05/19	181902.2	312.42	-96.6191867	39.1329540	14	S	705784.7401	4334230.0972	181902.2	312.36	-96.6191583	39.1329532	705787.2004	4334230.0711	1.6	0.48	1.048	1.92600	0.04190	0.15170	0.05190
CCL_AC000259	0.60000	705785.6339	4334230.5671	312.39	18:19:02.2	2015/05/19	181902.2	312.42	-96.6191867	39.1329540	14	S	705784.7401	4334230.0972	181902.2	312.36	-96.6191583	39.1329532	705787.2004	4334230.0711	0.89	0.48	1.048	0.44100	0.04170	0.16690	0.06470
CCL_AC000304	0.57000	705786.3429	4334230.5596	312.39	18:19:02.2	2015/05/19	181902.2	312.42	-96.6191867	39.1329540	14	S	705784.7401	4334230.0972	181902.2	312.36	-96.6191583	39.1329532	705787.2004	4334230.0711	1.6	0.48	1.048	1.64200	0.04160	0.15190	0.05750
CCL_AC000259	0.60300	705785.6327	4334230.5661	312.39	18:19:02.4	2015/05/19	181902.4	312.42	-96.6191868	39.1329540	14	S	705784.7387	4334230.0953	181902.2	312.36	-96.6191583	39.1329532	705787.2004	4334230.0711	0.89	0.48	1.048	0.44600	0.04090	0.16490	0.06320
CCL_AC000304	0.57500	705786.3426	4334230.5607	312.4	18:19:02.4	2015/05/19	181902.4	312.42	-96.6191868	39.1329540	14	S	705784.7387	4334230.0953	181902.4	312.37	-96.6191583	39.1329532	705787.2018	4334230.0730	1.6	0.48	1.048	1.64300	0.04140	0.15340	0.05810
CCL_AC000259	0.61000	705785.6328	4334230.5671	312.4	18:19:02.4	2015/05/19	181902.4	312.42	-96.6191868	39.1329540	14	S	705784.7387	4334230.0953	181902.4	312.37	-96.6191583	39.1329532	705787.2018	4334230.0730	0.89	0.48	1.048	0.43100	0.04150	0.17100	0.06790
CCL_AC000304	0.58200	705786.3426	4334230.5607	312.4	18:19:02.4	2015/05/19	181902.4	312.42	-96.6191868	39.1329540	14	S	705784.7387	4334230.0953	181902.4	312.37	-96.6191583	39.1329532	705787.2018	4334230.0730	1.6	0.48	1.048	1.43200	0.04090	0.15490	0.06370
CCL_AC000259	0.60500	705785.6328	4334230.5671	312.4	18:19:02.4	2015/05/19	181902.4	312.42	-96.6191868	39.1329540	14	S	705784.7387	4334230.0953	181902.4	312.37	-96.6191583	39.1329532	705787.2018	4334230.0730	0.89	0.48	1.048	0.44700	0.04240	0.17220	0.06590
CCL_AC000304	0.57300	705786.3430	4334230.5622	312.39	18:19:02.6	2015/05/19	181902.6	312.42	-96.6191867	39.1329540	14	S	705784.7401	4334230.0972	181902.6	312.36	-96.6191583	39.1329532	705787.2017	4334230.0748	1.6	0.48	1.048	1.53600	0.03980	0.14670	0.05790
CCL_AC000259	0.60700	705785.6337	4334230.5687	312.39	18:19:02.6	2015/05/19	181902.6	312.42	-96.6191867	39.1329540	14	S	705784.7401	4334230.0972	181902.6	312.36	-96.6191583	39.1329532	705787.2017	4334230.0748	0.89	0.48	1.048	0.44600	0.04150	0.16980	0.06500
