sensor_ID	sensor_observation	absolute_sensor_position_x	absolute_sensor_position_y	absolute_sensor_position_z	sampling_time_utc	sampling_date	left_utc	left_elevation	left_long	left_lat	long_zone	lat_zone	left_utm_x	left_utm_y	right_utc	right_elevation	right_long	right_lat	right_utm_x	right_utm_y	sensor_offset_x_from_left_gps	sensor_offset_y_from_left_gps	sensor_offset_z_from_left_gps	sensor_observation_2
GSK_5239J00113	0.7690	705786.3336	4334229.8018	312.39	18:18:47.4	2015/05/19	181847.4	312.42	-96.6191868	39.1329540	14	S	705784.7387	4334230.0972	181847.4	312.36	-96.6191583	39.1329532	705787.1989	4334230.0729	1.6	-0.28	1.048	0.7690
GSK_5239J00111	0.5190	705785.6246	4334229.8088	312.39	18:18:47.4	2015/05/19	181847.4	312.42	-96.6191868	39.1329540	14	S	705784.7387	4334230.0972	181847.4	312.36	-96.6191583	39.1329532	705787.1989	4334230.0729	0.89	-0.28	1.048	0.3170
GSK_5239J00113	0.8480	705786.3336	4334229.8018	312.39	18:18:47.4	2015/05/19	181847.4	312.42	-96.6191868	39.1329540	14	S	705784.7387	4334230.0972	181847.4	312.36	-96.6191583	39.1329532	705787.1989	4334230.0729	1.6	-0.28	1.048	0.8480
GSK_5239J00111	0.5120	705785.6243	4334229.8097	312.39	18:18:47.6	2015/05/19	181847.6	312.42	-96.6191868	39.1329540	14	S	705784.7387	4334230.0972	181847.6	312.36	-96.6191583	39.1329532	705787.1974	4334230.0747	0.89	-0.28	1.048	0.3220
GSK_5239J00113	0.8510	705786.3328	4334229.8032	312.39	18:18:47.6	2015/05/19	181847.6	312.42	-96.6191868	39.1329540	14	S	705784.7387	4334230.0972	181847.6	312.36	-96.6191583	39.1329532	705787.1974	4334230.0747	1.6	-0.28	1.048	0.8510
GSK_5239J00111	0.4130	705785.6244	4334229.8100	312.39	18:18:47.8	2015/05/19	181847.8	312.42	-96.6191868	39.1329540	14	S	705784.7386	4334230.0990	181847.8	312.36	-96.6191583	39.1329532	705787.1989	4334230.0729	0.89	-0.28	1.048	0.4150
GSK_5239J00113	0.7910	705786.3334	4334229.8024	312.39	18:18:47.8	2015/05/19	181847.8	312.42	-96.6191868	39.1329540	14	S	705784.7386	4334230.0990	181847.8	312.36	-96.6191583	39.1329532	705787.1989	4334230.0729	1.6	-0.28	1.048	0.7910
GSK_5239J00111	0.4230	705785.6244	4334229.8100	312.39	18:18:47.8	2015/05/19	181847.8	312.42	-96.6191868	39.1329540	14	S	705784.7386	4334230.0990	181847.8	312.36	-96.6191583	39.1329532	705787.1989	4334230.0729	0.89	-0.28	1.048	0.4050
GSK_5239J00113	0.7820	705786.3334	4334229.8024	312.39	18:18:47.8	2015/05/19	181847.8	312.42	-96.6191868	39.1329540	14	S	705784.7386	4334230.0990	181847.8	312.36	-96.6191583	39.1329532	705787.1989	4334230.0729	1.6	-0.28	1.048	0.7820
GSK_5239J00111	0.4930	705785.6244	4334229.8091	312.39	18:18:48.0	2015/05/19	181848.0	312.42	-96.6191868	39.1329540	14	S	705784.7372	4334230.0971	181848.0	312.36	-96.6191583	39.1329532	705787.2003	4334230.0748	0.89	-0.28	1.048	0.3400
