Row1		Row2		Row3		OffsetFromBar	Ash_AM	m
0.890000	1.700000	0.000000	0.480000
CC 1 X	CC 1 Y	CC 2 X	CC 2 Y	CC 3 X	CC 3 Y
0.00	0.48	1.70	0.48	0.00	0.00
CC 1 ID	CC 2 ID	CC 3 ID
CCL_AC000259	CCL_AC000304	
Index	Left_UTCTime 	Left_Elevation	Left_Latitude	Left_Longitude	Row1CalcOutput1	Row1CalcOutput2	Row1Channel1	Row1Channel2	Row1Channel3	Row1TI	Row1TS	Row2CalcOutput1	Row2CalcOutput2	Row2Channel1	Row2Channel2	Row2Channel3	Row2TI	Row2TS	Right_UTCTime	Right_Elevation	Right_Latitude	Right_Longitude	Write_TS
1.0000000000	181901.0000000000	312.4300000000	3907.9772409996	9637.1512039989	0.6130000000	0.3980000000	0.0406000000	0.1688000000	0.0728000000	98231.0000000000	98342.0000000000	0.5730000000	1.2990000000	0.0401000000	0.1477000000	0.0643000000	98278.0000000000	98374.0000000000	181901.0000000000	312.3700000000	3907.9771949996	9637.1494969989	98300.0000000000
2.0000000000	181901.0000000000	312.4300000000	3907.9772409996	9637.1512039989	0.6100000000	0.4400000000	0.0410000000	0.1694000000	0.0659000000	98342.0000000000	98438.0000000000	0.5600000000	1.6180000000	0.0412000000	0.1463000000	0.0559000000	98375.0000000000	98471.0000000000	181901.0000000000	312.3700000000	3907.9771949996	9637.1494969989	98375.0000000000
3.0000000000	181901.2000000000	312.4300000000	3907.9772419996	9637.1512039989	0.6130000000	0.4550000000	0.0408000000	0.1702000000	0.0638000000	98439.0000000000	98535.0000000000	0.5540000000	1.4060000000	0.0407000000	0.1417000000	0.0589000000	98471.0000000000	98582.0000000000	181901.2000000000	312.3700000000	3907.9771939996	9637.1494959989	98471.0000000000
4.0000000000	181901.2000000000	312.4300000000	3907.9772419996	9637.1512039989	0.6030000000	0.4830000000	0.0419000000	0.1690000000	0.0589000000	98535.0000000000	98631.0000000000	0.5690000000	2.0150000000	0.0416000000	0.1513000000	0.0502000000	98583.0000000000	98678.0000000000	181901.2000000000	312.3700000000	3907.9771939996	9637.1494959989	98583.0000000000
5.0000000000	181901.4000000000	312.4200000000	3907.9772379996	9637.1512069989	0.6210000000	0.4600000000	0.0409000000	0.1750000000	0.0647000000	98631.0000000000	98742.0000000000	0.5830000000	1.5220000000	0.0399000000	0.1513000000	0.0600000000	98679.0000000000	98775.0000000000	181901.4000000000	312.3600000000	3907.9771919996	9637.1494979989	98679.0000000000
6.0000000000	181901.4000000000	312.4200000000	3907.9772379996	9637.1512069989	0.5960000000	0.4280000000	0.0420000000	0.1658000000	0.0664000000	98743.0000000000	98839.0000000000	0.5900000000	1.6840000000	0.0401000000	0.1553000000	0.0578000000	98775.0000000000	98887.0000000000	181901.4000000000	312.3600000000	3907.9771919996	9637.1494979989	98775.0000000000
7.0000000000	181901.4000000000	312.4200000000	3907.9772379996	9637.1512069989	0.6100000000	0.4470000000	0.0409000000	0.1690000000	0.0645000000	98842.0000000000	98935.0000000000	0.5740000000	1.8560000000	0.0415000000	0.1534000000	0.0537000000	98887.0000000000	98983.0000000000	181901.6000000000	312.3600000000	3907.9771929996	9637.1494979989	98887.0000000000
8.0000000000	181901.6000000000	312.4200000000	3907.9772379996	9637.1512059989	0.6130000000	0.4530000000	0.0411000000	0.1711000000	0.0645000000	98935.0000000000	99047.0000000000	0.5940000000	1.5460000000	0.0401000000	0.1574000000	0.0618000000	98983.0000000000	99079.0000000000	181901.6000000000	312.3600000000	3907.9771929996	9637.1494979989	98983.0000000000
9.0000000000	181901.8000000000	312.4200000000	3907.9772399996	9637.1512049989	0.6080000000	0.4490000000	0.0413000000	0.1694000000	0.0645000000	99047.0000000000	99143.0000000000	0.5760000000	1.6880000000	0.0409000000	0.1521000000	0.0566000000	99079.0000000000	99175.0000000000	181901.8000000000	312.3600000000	3907.9771909996	9637.1494979989	99079.0000000000
10.0000000000	181901.8000000000	312.4200000000	3907.9772399996	9637.1512049989	0.6070000000	0.4520000000	0.0415000000	0.1699000000	0.0642000000	99143.0000000000	99239.0000000000	0.5700000000	1.5280000000	0.0405000000	0.1477000000	0.0584000000	99175.0000000000	99286.0000000000	181901.8000000000	312.3600000000	3907.9771909996	9637.1494979989	99175.0000000000
11.0000000000	181902.0000000000	312.4200000000	3907.9772379996	9637.1512049989	0.6080000000	0.4310000000	0.0412000000	0.1691000000	0.0673000000	99239.0000000000	99350.0000000000	0.5670000000	1.9260000000	0.0419000000	0.1517000000	0.0519000000	99286.0000000000	99383.0000000000	181902.0000000000	312.3600000000	3907.9771919996	9637.1494989989	99287.0000000000
12.0000000000	181902.0000000000	312.4200000000	3907.9772379996	9637.1512049989	0.6000000000	0.4410000000	0.0417000000	0.1669000000	0.0647000000	99350.0000000000	99447.0000000000	0.5700000000	1.6420000000	0.0416000000	0.1519000000	0.0575000000	99383.0000000000	99479.0000000000	181902.0000000000	312.3600000000	3907.9771919996	9637.1494989989	99383.0000000000
13.0000000000	181902.2000000000	312.4200000000	3907.9772399996	9637.1512039989	0.6030000000	0.4460000000	0.0409000000	0.1649000000	0.0632000000	99447.0000000000	99542.0000000000	0.5750000000	1.6430000000	0.0414000000	0.1534000000	0.0581000000	99479.0000000000	99574.0000000000	181902.2000000000	312.3600000000	3907.9771909996	9637.1494979989	99479.0000000000
14.0000000000	181902.2000000000	312.4200000000	3907.9772399996	9637.1512039989	0.6100000000	0.4310000000	0.0415000000	0.1710000000	0.0679000000	99542.0000000000	99639.0000000000	0.5820000000	1.4320000000	0.0409000000	0.1549000000	0.0637000000	99574.0000000000	99687.0000000000	181902.2000000000	312.3600000000	3907.9771909996	9637.1494979989	99574.0000000000
15.0000000000	181902.4000000000	312.4200000000	3907.9772389996	9637.1512049989	0.6050000000	0.4470000000	0.0424000000	0.1722000000	0.0659000000	99639.0000000000	99751.0000000000	0.5730000000	1.5360000000	0.0398000000	0.1467000000	0.0579000000	99687.0000000000	99783.0000000000	181902.4000000000	312.3700000000	3907.9771919996	9637.1494969989	99687.0000000000
16.0000000000	181902.4000000000	312.4200000000	3907.9772389996	9637.1512049989	0.6070000000	0.4460000000	0.0415000000	0.1698000000	0.0650000000	99751.0000000000	99847.0000000000	0.5840000000	1.8960000000	0.0410000000	0.1560000000	0.0539000000	99783.0000000000	99879.0000000000	181902.4000000000	312.3700000000	3907.9771919996	9637.1494969989	99783.0000000000
17.0000000000	181902.6000000000	312.4200000000	3907.9772399996	9637.1512039989	0.6090000000	0.4700000000	0.0417000000	0.1716000000	0.0619000000	99847.0000000000	99942.0000000000	0.5800000000	1.7750000000	0.0404000000	0.1522000000	0.0548000000	99879.0000000000	99990.0000000000	181902.6000000000	312.3600000000	3907.9771929996	9637.1494969989	99879.0000000000
18.0000000000	181902.6000000000	312.4200000000	3907.9772399996	9637.1512039989	0.6170000000	0.4330000000	0.0408000000	0.1723000000	0.0682000000	99942.0000000000	100055.0000000000	0.5910000000	1.8920000000	0.0402000000	0.1564000000	0.0541000000	99990.0000000000	100086.0000000000	181902.6000000000	312.3600000000	3907.9771929996	9637.1494969989	99990.0000000000
19.0000000000	181902.8000000000	312.4200000000	3907.9772379996	9637.1512049989	0.6150000000	0.4640000000	0.0415000000	0.1737000000	0.0636000000	100055.0000000000	100150.0000000000	0.5850000000	1.4130000000	0.0406000000	0.1551000000	0.0643000000	100086.0000000000	100182.0000000000	181902.8000000000	312.3700000000	3907.9771929996	9637.1494969989	100086.0000000000
20.0000000000	181902.8000000000	312.4200000000	3907.9772379996	9637.1512049989	0.6090000000	0.4690000000	0.0415000000	0.1705000000	0.0616000000	100151.0000000000	100247.0000000000	0.5920000000	1.6540000000	0.0397000000	0.1549000000	0.0584000000	100184.0000000000	100278.0000000000	181902.8000000000	312.3700000000	3907.9771929996	9637.1494969989	100183.0000000000
21.0000000000	181903.0000000000	312.4300000000	3907.9772399996	9637.1512039989	0.6050000000	0.4340000000	0.0417000000	0.1693000000	0.0669000000	100247.0000000000	100342.0000000000	0.5740000000	1.6290000000	0.0406000000	0.1503000000	0.0572000000	100278.0000000000	100391.0000000000	181902.8000000000	312.3700000000	3907.9771929996	9637.1494969989	100278.0000000000
22.0000000000	181903.0000000000	312.4300000000	3907.9772399996	9637.1512039989	0.6040000000	0.4560000000	0.0417000000	0.1692000000	0.0632000000	100342.0000000000	100454.0000000000	0.5650000000	1.6300000000	0.0409000000	0.1468000000	0.0558000000	100391.0000000000	100487.0000000000	181903.0000000000	312.3600000000	3907.9771919996	9637.1494979989	100391.0000000000
23.0000000000	181903.2000000000	312.4200000000	3907.9772379996	9637.1512039989	0.6040000000	0.4510000000	0.0411000000	0.1666000000	0.0630000000	100454.0000000000	100551.0000000000	0.5740000000	1.6060000000	0.0414000000	0.1533000000	0.0588000000	100487.0000000000	100583.0000000000	181903.2000000000	312.3700000000	3907.9771929996	9637.1494969989	100487.0000000000
24.0000000000	181903.2000000000	312.4200000000	3907.9772379996	9637.1512039989	0.6090000000	0.4340000000	0.0412000000	0.1695000000	0.0669000000	100551.0000000000	100646.0000000000	0.5750000000	1.6830000000	0.0406000000	0.1503000000	0.0560000000	100583.0000000000	100694.0000000000	181903.2000000000	312.3700000000	3907.9771929996	9637.1494969989	100583.0000000000
25.0000000000	181903.4000000000	312.4200000000	3907.9772389996	9637.1512059989	0.6070000000	0.4440000000	0.0409000000	0.1674000000	0.0644000000	100646.0000000000	100758.0000000000	0.5660000000	1.7240000000	0.0416000000	0.1504000000	0.0552000000	100694.0000000000	100790.0000000000	181903.2000000000	312.3700000000	3907.9771929996	9637.1494969989	100694.0000000000
26.0000000000	181903.4000000000	312.4200000000	3907.9772389996	9637.1512059989	0.6080000000	0.4550000000	0.0415000000	0.1702000000	0.0638000000	100761.0000000000	100855.0000000000	0.5820000000	1.7000000000	0.0408000000	0.1541000000	0.0571000000	100791.0000000000	100887.0000000000	181903.4000000000	312.3700000000	3907.9771919996	9637.1494989989	100791.0000000000
