sensor_ID,utc_time,utc_date,channel_1_output,channel_2_output,channel_3_output,calculated_vi_1,calculated_vi_2
CCL_AC000304,161623.2,070515,0.05030,0.49330,0.09860,0.81500,4.00400
CCL_AC000259,161623.4,070515,0.04920,0.36700,0.09130,0.76400,0.60100
CCL_AC000304,161623.4,070515,0.05310,0.49080,0.09870,0.80500,3.97500
CCL_AC000259,161623.6,070515,0.04820,0.36090,0.08830,0.76400,0.60700
CCL_AC000304,161623.6,070515,0.05360,0.50510,0.09940,0.80800,4.08100
CCL_AC000259,161623.6,070515,0.04890,0.35570,0.09120,0.75800,0.59200
CCL_AC000304,161623.6,070515,0.05430,0.52340,0.11640,0.81200,3.49800
CCL_AC000259,161623.6,070515,0.04880,0.35740,0.08490,0.76000,0.61600
CCL_AC000304,161623.6,070515,0.05220,0.51460,0.09950,0.81600,4.17100
CCL_AC000259,161623.8,070515,0.04900,0.35940,0.08600,0.76000,0.61400
CCL_AC000304,161623.8,070515,0.05120,0.49930,0.09890,0.81400,4.04900
CCL_AC000259,161623.8,070515,0.05020,0.35600,0.08750,0.75300,0.60500
CCL_AC000304,161623.8,070515,0.05100,0.49710,0.09960,0.81400,3.98900
CCL_AC000259,161624.0,070515,0.04940,0.36420,0.08670,0.76100,0.61500
CCL_AC000304,161624.0,070515,0.05300,0.49640,0.09720,0.80700,4.11000
CCL_AC000259,161624.0,070515,0.05180,0.38390,0.09600,0.76200,0.60000
CCL_AC000304,161624.0,070515,0.05270,0.50060,0.09520,0.81000,4.25500
CCL_AC000259,161624.2,070515,0.05250,0.39870,0.09800,0.76700,0.60500
CCL_AC000304,161624.2,070515,0.05270,0.50410,0.09710,0.81100,4.19400
CCL_AC000259,161624.2,070515,0.05570,0.45090,0.10990,0.78000,0.60800
CCL_AC000304,161624.2,070515,0.05370,0.49950,0.10070,0.80600,3.96200
CCL_AC000259,161624.4,070515,0.05380,0.45360,0.10690,0.78800,0.61800
CCL_AC000304,161624.4,070515,0.05300,0.50590,0.10070,0.81000,4.02500
CCL_AC000259,161624.4,070515,0.05280,0.44090,0.10800,0.78600,0.60600
CCL_AC000304,161624.4,070515,0.05480,0.50260,0.09850,0.80400,4.10500
CCL_AC000259,161624.6,070515,0.05130,0.42430,0.10530,0.78400,0.60200
CCL_AC000304,161624.6,070515,0.05270,0.50630,0.10000,0.81200,4.06100
CCL_AC000259,161624.6,070515,0.05010,0.39690,0.09950,0.77600,0.59900
CCL_AC000304,161624.6,070515,0.05210,0.50990,0.09980,0.81500,4.10800
CCL_AC000259,161624.8,070515,0.05010,0.40020,0.09530,0.77800,0.61500
CCL_AC000304,161624.8,070515,0.05300,0.50220,0.09830,0.80900,4.10800
CCL_AC000259,161625.0,070515,0.05010,0.39190,0.09140,0.77300,0.62200
CCL_AC000304,161625.0,070515,0.05230,0.50710,0.09610,0.81300,4.27500
CCL_AC000259,161625.0,070515,0.05030,0.38610,0.09220,0.76900,0.61400
CCL_AC000304,161625.0,070515,0.05350,0.50640,0.10150,0.80900,3.99100
CCL_AC000259,161625.0,070515,0.04970,0.37630,0.09770,0.76700,0.58800
CCL_AC000304,161625.0,070515,0.05210,0.50800,0.10600,0.81400,3.79100
CCL_AC000259,161625.0,070515,0.04900,0.37350,0.09260,0.76800,0.60300
CCL_AC000304,161625.2,070515,0.05240,0.50040,0.09260,0.81000,4.40100
CCL_AC000259,161625.2,070515,0.04910,0.37160,0.08960,0.76600,0.61100
CCL_AC000304,161625.2,070515,0.05300,0.50310,0.10450,0.80900,3.81500
CCL_AC000259,161625.2,070515,0.04910,0.38060,0.09620,0.77200,0.59700
CCL_AC000304,161625.2,070515,0.05330,0.50810,0.09990,0.81000,4.08600
CCL_AC000259,161625.4,070515,0.05140,0.39320,0.09540,0.76900,0.60900
CCL_AC000304,161625.4,070515,0.05330,0.50820,0.10350,0.81000,3.90900
CCL_AC000259,161625.6,070515,0.05330,0.41130,0.10440,0.77100,0.59500
CCL_AC000304,161625.6,070515,0.05220,0.50570,0.09570,0.81300,4.28400
CCL_AC000259,161625.8,070515,0.05140,0.40460,0.09670,0.77400,0.61400
CCL_AC000304,161625.8,070515,0.05150,0.50200,0.09650,0.81400,4.20400
CCL_AC000259,161625.8,070515,0.05040,0.39410,0.09530,0.77300,0.61100
CCL_AC000304,161625.8,070515,0.05270,0.50280,0.10500,0.81000,3.78700
CCL_AC000259,161626.0,070515,0.05030,0.37090,0.09400,0.76100,0.59500
CCL_AC000304,161626.0,070515,0.05400,0.50780,0.09800,0.80800,4.18200
CCL_AC000259,161626.0,070515,0.04900,0.36950,0.08260,0.76600,0.63500
CCL_AC000304,161626.0,070515,0.05360,0.51050,0.09480,0.81000,4.38200
CCL_AC000259,161626.0,070515,0.04820,0.36620,0.08670,0.76800,0.61700
CCL_AC000304,161626.0,070515,0.05210,0.51260,0.10610,0.81500,3.83200
CCL_AC000259,161626.2,070515,0.04950,0.37910,0.08790,0.76900,0.62400
CCL_AC000304,161626.2,070515,0.05110,0.50490,0.09080,0.81600,4.55900
CCL_AC000259,161626.2,070515,0.04980,0.38390,0.09810,0.77100,0.59300
CCL_AC000304,161626.2,070515,0.05170,0.50180,0.09670,0.81300,4.19000
CCL_AC000259,161626.4,070515,0.05090,0.38700,0.09440,0.76700,0.60800
CCL_AC000304,161626.4,070515,0.05210,0.51040,0.10130,0.81500,4.03800
CCL_AC000259,161626.6,070515,0.04910,0.37080,0.08650,0.76600,0.62200
CCL_AC000304,161626.6,070515,0.05270,0.51850,0.10410,0.81500,3.97800
CCL_AC000259,161626.6,070515,0.04910,0.35960,0.08380,0.76000,0.62200
CCL_AC000304,161626.6,070515,0.05230,0.50930,0.10430,0.81400,3.88200
CCL_AC000259,161626.8,070515,0.04880,0.36070,0.08560,0.76200,0.61600
CCL_AC000304,161626.8,070515,0.05180,0.50380,0.09510,0.81400,4.29900
CCL_AC000259,161626.8,070515,0.04820,0.35930,0.08620,0.76300,0.61300
CCL_AC000304,161626.8,070515,0.05220,0.49670,0.10450,0.81000,3.75300
CCL_AC000259,161627.0,070515,0.04940,0.36850,0.08830,0.76400,0.61300
CCL_AC000304,161627.0,070515,0.05280,0.50350,0.09900,0.81000,4.08700
CCL_AC000259,161627.0,070515,0.05200,0.38270,0.10270,0.76100,0.57700
CCL_AC000304,161627.0,070515,0.05390,0.49420,0.10530,0.80300,3.69600
CCL_AC000259,161627.2,070515,0.05310,0.42090,0.10540,0.77600,0.59900
CCL_AC000304,161627.2,070515,0.05380,0.49550,0.10010,0.80400,3.95300
CCL_AC000259,161627.2,070515,0.05590,0.44640,0.10820,0.77800,0.61000
