BARCODE,X1,Y1,X2,Y2,X3,Y3,X4,Y4
15ASH20001,705785.4058,4334209.525,705785.4058,4334211.525,705785.8058,4334211.525,705785.8058,4334209.525
15ASH20002,705784.696,4334209.535,705784.696,4334211.535,705785.096,4334211.535,705785.096,4334209.535
15ASH20003,705783.8181,4334208.745,705783.8181,4334210.745,705784.2181,4334210.745,705784.2181,4334208.745
15ASH20004,705783.1042,4334208.866,705783.1042,4334210.866,705783.5042,4334210.866,705783.5042,4334208.866
15ASH20005,705782.1466,4334209.45,705782.1466,4334211.45,705782.5466,4334211.45,705782.5466,4334209.45
15ASH20006,705781.4348,4334209.552,705781.4348,4334211.552,705781.8348,4334211.552,705781.8348,4334209.552
15ASH20007,705780.6027,4334208.81,705780.6027,4334210.81,705781.0027,4334210.81,705781.0027,4334208.81
15ASH20008,705779.896,4334208.894,705779.896,4334210.894,705780.296,4334210.894,705780.296,4334208.894
15ASH20009,705778.9736,4334209.46,705778.9736,4334211.46,705779.3736,4334211.46,705779.3736,4334209.46
15ASH20010,705778.2635,4334209.41,705778.2635,4334211.41,705778.6635,4334211.41,705778.6635,4334209.41
15ASH20011,705777.4121,4334208.765,705777.4121,4334210.765,705777.8121,4334210.765,705777.8121,4334208.765
15ASH20012,705776.7036,4334208.785,705776.7036,4334210.785,705777.1036,4334210.785,705777.1036,4334208.785
15ASH20013,705775.8057,4334209.487,705775.8057,4334211.487,705776.2057,4334211.487,705776.2057,4334209.487
15ASH20014,705775.0959,4334209.554,705775.0959,4334211.554,705775.4959,4334211.554,705775.4959,4334209.554
15ASH20015,705774.0222,4334208.704,705774.0222,4334210.704,705774.4222,4334210.704,705774.4222,4334208.704
15ASH20016,705773.3136,4334208.687,705773.3136,4334210.687,705773.7136,4334210.687,705773.7136,4334208.687
15ASH20017,705772.4303,4334209.279,705772.4303,4334211.279,705772.8303,4334211.279,705772.8303,4334209.279
15ASH20018,705771.7214,4334209.32,705771.7214,4334211.32,705772.1214,4334211.32,705772.1214,4334209.32
15ASH20019,705770.8341,4334208.736,705770.8341,4334210.736,705771.2341,4334210.736,705771.2341,4334208.736
15ASH20020,705770.1228,4334208.881,705770.1228,4334210.881,705770.5228,4334210.881,705770.5228,4334208.881
15ASH20021,705769.2222,4334209.315,705769.2222,4334211.315,705769.6222,4334211.315,705769.6222,4334209.315
15ASH20022,705768.5133,4334209.274,705768.5133,4334211.274,705768.9133,4334211.274,705768.9133,4334209.274
15ASH20023,705767.635,4334208.574,705767.635,4334210.574,705768.035,4334210.574,705768.035,4334208.574
15ASH20024,705766.9268,4334208.66,705766.9268,4334210.66,705767.3268,4334210.66,705767.3268,4334208.66
15ASH20025,705766.0954,4334209.238,705766.0954,4334211.238,705766.4954,4334211.238,705766.4954,4334209.238
15ASH20026,705765.3862,4334209.305,705765.3862,4334211.305,705765.7862,4334211.305,705765.7862,4334209.305
