utc_tstamp,longitude,latitude,heading,elevation
1438936941.2,-96.6191598,39.1328326,3.1718026816,312.3
1438936941.4,-96.6191598,39.1328326,3.1727064113,312.3
1438936941.6,-96.6191598,39.1328326,3.1726696725,312.3
1438936941.8,-96.6191598,39.1328326,3.1718790168,312.3
1438936942,-96.6191598,39.1328326,3.1718962817,312.3
1438936942.2,-96.6191598,39.1328326,3.1719382229,312.3
1438936942.4,-96.6191598,39.1328326,3.1733648092,312.3
1438936942.6,-96.6191598,39.1328326,3.1733422322,312.29
1438936942.8,-96.6191598,39.1328327,3.1726112869,312.3
1438936943,-96.6191598,39.1328326,3.1733648096,312.3
1438936943.2,-96.6191598,39.1328326,3.1726100247,312.3
1438936943.4,-96.6191598,39.1328326,3.1718790168,312.3
1438936943.6,-96.6191598,39.1328327,3.1718790164,312.29
1438936943.8,-96.6191598,39.1328326,3.1726696725,312.29
1438936944,-96.6191598,39.1328327,3.1704088758,312.29
1438936944.2,-96.6191598,39.1328327,3.1718617712,312.29
1438936944.4,-96.6191598,39.1328327,3.1719382226,312.29
1438936944.6,-96.6191598,39.1328327,3.1718790164,312.29
1438936944.8,-96.6191598,39.1328327,3.1710892238,312.3
1438936945,-96.6191598,39.1328327,3.1718617712,312.29
1438936945.2,-96.6191598,39.1328327,3.1711816344,312.29
1438936945.4,-96.6191598,39.1328326,3.1726519675,312.3
1438936945.6,-96.6191598,39.1328326,3.1718790168,312.3
1438936945.8,-96.6191598,39.1328326,3.1711828401,312.3
1438936946,-96.6191598,39.1328326,3.1733648092,312.3
1438936946.2,-96.6191598,39.1328326,3.1719382229,312.3
1438936946.4,-96.6191598,39.1328326,3.1720322282,312.3
1438936946.6,-96.6191598,39.1328326,3.1725747243,312.29
1438936946.8,-96.6191598,39.1328326,3.1711060298,312.3
1438936947,-96.6191598,39.1328326,3.1726873977,312.3
1438936947.2,-96.6191598,39.1328326,3.1734010292,312.29
1438936947.4,-96.6191598,39.1328326,3.1733648096,312.29
1438936947.6,-96.6191598,39.1328326,3.1733829093,312.29
1438936947.8,-96.6191597,39.1328327,3.1718433159,312.28
1438936948,-96.6191598,39.1328326,3.1726100247,312.29
