BARCODE,X1,Y1,X2,Y2,X3,Y3,X4,Y4
Fill,409108.7481,3659514.969,409108.7643,3659515.997,409117.8023,3659515.882,409117.7886,3659514.849
12D1001,409117.8023,3659515.882,409108.7643,3659515.997,409108.7796,3659516.97,409117.8151,3659516.846
12D1002,409117.8151,3659516.846,409108.7796,3659516.97,409108.7957,3659517.986,409117.8286,3659517.865
12D1003,409117.8286,3659517.865,409108.7957,3659517.986,409108.8112,3659518.972,409117.8416,3659518.849
12D1004,409108.8112,3659518.972,409108.828,3659520.034,409117.8558,3659519.922,409117.8416,3659518.849
12D1005,409117.8558,3659519.922,409108.828,3659520.034,409108.8432,3659521,409117.8685,3659520.879
12D1006,409108.8432,3659521,409108.8602,3659522.078,409117.8828,3659521.962,409117.8685,3659520.879
12D1007,409117.8828,3659521.962,409108.8602,3659522.078,409108.8753,3659523.034,409117.8955,3659522.919
12D1008,409108.8753,3659523.034,409108.8914,3659524.053,409117.9089,3659523.933,409117.8955,3659522.919
12D1009,409117.9089,3659523.933,409108.8914,3659524.053,409108.9071,3659525.049,409117.9221,3659524.93
12D1010,409108.9241,3659526.124,409117.9364,3659526.01,409117.9221,3659524.93,409108.9071,3659525.049
Fill,409117.9364,3659526.01,409108.9241,3659526.124,409108.94,3659527.132,409117.9497,3659527.017
Fill,409108.1386,3659514.977,409099.5,3659515.091,409099.5139,3659516.114,409108.1548,3659516.005
12D1011,409099.5139,3659516.114,409099.5272,3659517.096,409108.1702,3659516.978,409108.1548,3659516.005
12D1012,409108.1702,3659516.978,409099.5272,3659517.096,409099.541,3659518.109,409108.1862,3659517.994
12D1013,409099.541,3659518.109,409099.5544,3659519.097,409108.2018,3659518.98,409108.1862,3659517.994
12D1014,409108.2018,3659518.98,409099.5544,3659519.097,409099.5687,3659520.149,409108.2185,3659520.042
12D1015,409099.5687,3659520.149,409099.5819,3659521.124,409108.2338,3659521.008,409108.2185,3659520.042
12D1016,409108.2338,3659521.008,409099.5819,3659521.124,409099.5965,3659522.197,409108.2508,3659522.086
12D1017,409099.5965,3659522.197,409099.6095,3659523.152,409108.2658,3659523.042,409108.2508,3659522.086
12D1018,409108.2658,3659523.042,409099.6095,3659523.152,409099.6234,3659524.176,409108.2819,3659524.061
12D1019,409099.6234,3659524.176,409099.6369,3659525.172,409108.2976,3659525.057,409108.2819,3659524.061
12D1020,409108.2976,3659525.057,409099.6369,3659525.172,409099.6514,3659526.242,409108.3146,3659526.132
Fill,409099.6514,3659526.242,409099.6651,3659527.25,409108.3305,3659527.14,409108.3146,3659526.132
Fill,409098.8905,3659515.1,409090.0465,3659515.217,409090.0534,3659516.234,409098.9044,3659516.122
12D1021,409090.0534,3659516.234,409090.0602,3659517.226,409098.9177,3659517.105,409098.9044,3659516.122
12D1022,409098.9177,3659517.105,409090.0602,3659517.226,409090.0671,3659518.235,409098.9315,3659518.117
12D1023,409090.0671,3659518.235,409090.0738,3659519.226,409098.9449,3659519.105,409098.9315,3659518.117
12D1024,409098.9592,3659520.157,409098.9449,3659519.105,409090.0738,3659519.226,409090.0809,3659520.267
12D1025,409090.0809,3659520.267,409090.0877,3659521.252,409098.9724,3659521.132,409098.9592,3659520.157
12D1026,409098.9724,3659521.132,409090.0877,3659521.252,409090.0949,3659522.319,409098.987,3659522.205
12D1027,409090.0949,3659522.319,409090.1014,3659523.273,409099,3659523.159,409098.987,3659522.205
12D1028,409099,3659523.159,409090.1014,3659523.273,409090.1084,3659524.302,409099.0139,3659524.184
12D1029,409090.1084,3659524.302,409090.1152,3659525.298,409099.0274,3659525.18,409099.0139,3659524.184
12D1030,409099.0274,3659525.18,409090.1152,3659525.298,409090.1225,3659526.364,409099.0419,3659526.25
Fill,409090.1225,3659526.364,409090.1294,3659527.372,409099.0556,3659527.258,409099.0419,3659526.25
Fill,409080.5646,3659515.343,409080.5715,3659516.354,409089.4439,3659516.242,409089.437,3659515.225
12D1031,409080.5715,3659516.354,409080.5783,3659517.356,409089.4507,3659517.234,409089.4439,3659516.242
12D1032,409089.4507,3659517.234,409080.5783,3659517.356,409080.5852,3659518.362,409089.4575,3659518.243
12D1033,409080.5852,3659518.362,409080.592,3659519.354,409089.4643,3659519.234,409089.4575,3659518.243
12D1034,409089.4643,3659519.234,409080.592,3659519.354,409080.599,3659520.385,409089.4714,3659520.275
12D1035,409080.599,3659520.385,409080.6058,3659521.379,409089.4781,3659521.26,409089.4714,3659520.275
12D1036,409089.4781,3659521.26,409080.6058,3659521.379,409080.613,3659522.441,409089.4854,3659522.327
12D1037,409080.613,3659522.441,409080.6195,3659523.393,409089.4919,3659523.28,409089.4854,3659522.327
12D1038,409089.4919,3659523.28,409080.6195,3659523.393,409080.6266,3659524.428,409089.4989,3659524.31
12D1039,409080.6266,3659524.428,409080.6333,3659525.423,409089.5057,3659525.306,409089.4989,3659524.31
12D1040,409089.5057,3659525.306,409080.6333,3659525.423,409080.6406,3659526.484,409089.513,3659526.371
Fill,409080.6406,3659526.484,409080.6474,3659527.493,409089.5198,3659527.38,409089.513,3659526.371
Fill,409071.1402,3659515.468,409071.1542,3659516.474,409079.962,3659516.362,409079.9551,3659515.351
12D1041,409079.962,3659516.362,409071.1542,3659516.474,409071.1684,3659517.485,409079.9688,3659517.364
12D1042,409071.1684,3659517.485,409071.1824,3659518.487,409079.9757,3659518.37,409079.9688,3659517.364
12D1043,409079.9757,3659518.37,409071.1824,3659518.487,409071.1963,3659519.481,409079.9824,3659519.362
12D1044,409071.1963,3659519.481,409071.2106,3659520.502,409079.9894,3659520.393,409079.9824,3659519.362
12D1045,409079.9894,3659520.393,409071.2106,3659520.502,409071.2246,3659521.505,409079.9962,3659521.387
12D1046,409071.2246,3659521.505,409071.2394,3659522.561,409080.0035,3659522.449,409079.9962,3659521.387
12D1047,409080.0035,3659522.449,409071.2394,3659522.561,409071.2527,3659523.512,409080.01,3659523.401
12D1048,409071.2527,3659523.512,409071.2672,3659524.552,409080.017,3659524.436,409080.01,3659523.401
12D1049,409080.017,3659524.436,409071.2672,3659524.552,409071.2812,3659525.547,409080.0238,3659525.431
12D1050,409071.2812,3659525.547,409071.2959,3659526.603,409080.031,3659526.492,409080.0238,3659525.431
Fill,409080.031,3659526.492,409071.2959,3659526.603,409071.31,3659527.612,409080.0379,3659527.5
Fill,409061.7309,3659515.593,409061.743,3659516.593,409070.5447,3659516.481,409070.5307,3659515.476
12D1051,409070.5447,3659516.481,409061.743,3659516.593,409061.7553,3659517.614,409070.5589,3659517.493
12D1052,409061.7553,3659517.614,409061.7674,3659518.613,409070.5729,3659518.495,409070.5589,3659517.493
12D1053,409070.5729,3659518.495,409061.7674,3659518.613,409061.7795,3659519.609,409070.5868,3659519.49
12D1054,409061.7795,3659519.609,409061.7917,3659520.619,409070.6011,3659520.51,409070.5868,3659519.49
12D1055,409070.6011,3659520.51,409061.7917,3659520.619,409061.8039,3659521.631,409070.6151,3659521.513
12D1056,409061.8039,3659521.631,409061.8166,3659522.683,409070.6299,3659522.569,409070.6151,3659521.513
12D1057,409070.6299,3659522.569,409061.8166,3659522.683,409061.8281,3659523.632,409070.6432,3659523.52
12D1058,409061.8281,3659523.632,409061.8408,3659524.677,409070.6578,3659524.56,409070.6432,3659523.52
12D1059,409070.6578,3659524.56,409061.8408,3659524.677,409061.8528,3659525.671,409070.6717,3659525.555
12D1060,409061.8528,3659525.671,409061.8655,3659526.723,409070.6864,3659526.611,409070.6717,3659525.555
Fill,409070.6864,3659526.611,409061.8655,3659526.723,409061.8777,3659527.732,409070.7005,3659527.62
Fill,409052.3247,3659515.718,409052.3354,3659516.712,409061.1335,3659516.601,409061.1214,3659515.601
12D1061,409061.1335,3659516.601,409052.3354,3659516.712,409052.3466,3659517.743,409061.1458,3659517.622
12D1062,409052.3466,3659517.743,409052.3573,3659518.738,409061.1579,3659518.621,409061.1458,3659517.622
12D1063,409061.1579,3659518.621,409052.3573,3659518.738,409052.3681,3659519.736,409061.17,3659519.617
12D1064,409052.3681,3659519.736,409052.3789,3659520.737,409061.1822,3659520.627,409061.17,3659519.617
12D1065,409061.1822,3659520.627,409052.3789,3659520.737,409052.3899,3659521.757,409061.1944,3659521.639
12D1066,409052.3899,3659521.757,409052.4012,3659522.804,409061.2071,3659522.69,409061.1944,3659521.639
12D1067,409061.2071,3659522.69,409052.4012,3659522.804,409052.4115,3659523.752,409061.2186,3659523.64
12D1068,409052.4115,3659523.752,409052.4228,3659524.802,409061.2313,3659524.685,409061.2186,3659523.64
12D1069,409061.2313,3659524.685,409052.4228,3659524.802,409052.4336,3659525.796,409061.2433,3659525.679
12D1070,409052.4336,3659525.796,409052.4449,3659526.843,409061.256,3659526.731,409061.2433,3659525.679
Fill,409052.4449,3659526.843,409052.4558,3659527.852,409061.2682,3659527.74,409061.256,3659526.731
