ID,x,y
1, 409117.528440, 3659517.125674
2, 409117.528440, 3659517.125674
3, 409117.528440, 3659517.125674
4, 409117.528440, 3659517.125674
5, 409117.332000, 3659517.083145
6, 409117.332000, 3659517.083145
7, 409117.332000, 3659517.083145
8, 409117.332000, 3659517.083145
9, 409117.163564, 3659517.040356
10, 409117.163564, 3659517.040356
11, 409117.163564, 3659517.040356
12, 409117.163564, 3659517.040356
13, 409117.004772, 3659517.030741
14, 409117.004772, 3659517.030741
15, 409117.004772, 3659517.030741
16, 409117.004772, 3659517.030741
17, 409116.855725, 3659517.065386
18, 409116.855725, 3659517.065386
19, 409116.855725, 3659517.065386
20, 409116.855725, 3659517.065386
21, 409116.706575, 3659517.088945
22, 409116.706575, 3659517.088945
23, 409116.706575, 3659517.088945
24, 409116.706575, 3659517.088945
25, 409116.556912, 3659517.057069
26, 409116.556912, 3659517.057069
27, 409116.556912, 3659517.057069
28, 409116.556912, 3659517.057069
29, 409116.425609, 3659516.991760
30, 409116.425609, 3659516.991760
31, 409116.425609, 3659516.991760
32, 409116.425609, 3659516.991760
33, 409116.294100, 3659516.904278
34, 409116.294100, 3659516.904278
35, 409116.294100, 3659516.904278
36, 409116.294100, 3659516.904278
37, 409116.153463, 3659516.839056
38, 409116.153463, 3659516.839056
39, 409116.153463, 3659516.839056
40, 409116.153463, 3659516.839056
41, 409116.013545, 3659516.851441
42, 409116.013545, 3659516.851441
43, 409116.013545, 3659516.851441
44, 409116.013545, 3659516.851441
45, 409115.855472, 3659516.919434
46, 409115.855472, 3659516.919434
47, 409115.855472, 3659516.919434
48, 409115.855472, 3659516.919434
49, 409115.716274, 3659517.009426
50, 409115.716274, 3659517.009426
51, 409115.716274, 3659517.009426
52, 409115.716274, 3659517.009426
53, 409115.576768, 3659517.066159
54, 409115.576768, 3659517.066159
55, 409115.576768, 3659517.066159
56, 409115.576768, 3659517.066159
57, 409115.427412, 3659517.067544
58, 409115.427412, 3659517.067544
59, 409115.427412, 3659517.067544
60, 409115.427412, 3659517.067544
61, 409115.305547, 3659517.013235
62, 409115.305547, 3659517.013235
63, 409115.305547, 3659517.013235
64, 409115.305547, 3659517.013235
65, 409115.174450, 3659516.970100
66, 409115.174450, 3659516.970100
67, 409115.174450, 3659516.970100
68, 409115.174450, 3659516.970100
69, 409115.034018, 3659516.927052
70, 409115.034018, 3659516.927052
71, 409115.034018, 3659516.927052
72, 409115.034018, 3659516.927052
73, 409114.903435, 3659516.939350
74, 409114.903435, 3659516.939350
75, 409114.903435, 3659516.939350
76, 409114.903435, 3659516.939350
77, 409114.773058, 3659516.973823
78, 409114.773058, 3659516.973823
79, 409114.773058, 3659516.973823
80, 409114.773058, 3659516.973823
81, 409114.633346, 3659517.008381
82, 409114.633346, 3659517.008381
83, 409114.633346, 3659517.008381
84, 409114.633346, 3659517.008381
85, 409114.493222, 3659516.998593
86, 409114.493222, 3659516.998593
87, 409114.493222, 3659516.998593
88, 409114.493222, 3659516.998593
89, 409114.334327, 3659516.977891
90, 409114.334327, 3659516.977891
91, 409114.334327, 3659516.977891
92, 409114.334327, 3659516.977891
93, 409114.175431, 3659516.957189
94, 409114.175431, 3659516.957189
95, 409114.175431, 3659516.957189
96, 409114.175431, 3659516.957189
97, 409114.007407, 3659516.958748
98, 409114.007407, 3659516.958748
99, 409114.007407, 3659516.958748
100, 409114.007407, 3659516.958748
101, 409113.811481, 3659516.971652
102, 409113.811481, 3659516.971652
103, 409113.811481, 3659516.971652
104, 409113.811481, 3659516.971652
105, 409113.606117, 3659516.973557
106, 409113.606117, 3659516.973557
107, 409113.606117, 3659516.973557
108, 409113.606117, 3659516.973557
109, 409113.391111, 3659516.942288
110, 409113.391111, 3659516.942288
111, 409113.391111, 3659516.942288
112, 409113.391111, 3659516.942288
113, 409113.176104, 3659516.911018
114, 409113.176104, 3659516.911018
115, 409113.176104, 3659516.911018
116, 409113.176104, 3659516.911018
117, 409112.961200, 3659516.890836
118, 409112.961200, 3659516.890836
119, 409112.961200, 3659516.890836
120, 409112.961200, 3659516.890836
121, 409112.737270, 3659516.904000
122, 409112.737270, 3659516.904000
123, 409112.737270, 3659516.904000
124, 409112.737270, 3659516.904000
125, 409112.522469, 3659516.894905
126, 409112.522469, 3659516.894905
127, 409112.522469, 3659516.894905
128, 409112.522469, 3659516.894905
129, 409112.307668, 3659516.885809
130, 409112.307668, 3659516.885809
131, 409112.307668, 3659516.885809
132, 409112.307668, 3659516.885809
133, 409112.092970, 3659516.887800
134, 409112.092970, 3659516.887800
135, 409112.092970, 3659516.887800
136, 409112.092970, 3659516.887800
137, 409111.887709, 3659516.900792
138, 409111.887709, 3659516.900792
139, 409111.887709, 3659516.900792
140, 409111.887709, 3659516.900792
141, 409111.691783, 3659516.913696
142, 409111.691783, 3659516.913696
143, 409111.691783, 3659516.913696
144, 409111.691783, 3659516.913696
145, 409111.495755, 3659516.915514
146, 409111.495755, 3659516.915514
147, 409111.495755, 3659516.915514
148, 409111.495755, 3659516.915514
149, 409111.299726, 3659516.917332
150, 409111.299726, 3659516.917332
151, 409111.299726, 3659516.917332
152, 409111.299726, 3659516.917332
153, 409111.103594, 3659516.908064
154, 409111.103594, 3659516.908064
155, 409111.103594, 3659516.908064
156, 409111.103594, 3659516.908064
157, 409110.907565, 3659516.909882
158, 409110.907565, 3659516.909882
159, 409110.907565, 3659516.909882
160, 409110.907565, 3659516.909882
161, 409110.730309, 3659516.922613
162, 409110.730309, 3659516.922613
163, 409110.730309, 3659516.922613
164, 409110.730309, 3659516.922613
165, 409110.534280, 3659516.924431
166, 409110.534280, 3659516.924431
167, 409110.534280, 3659516.924431
168, 409110.534280, 3659516.924431
169, 409110.356921, 3659516.926076
170, 409110.356921, 3659516.926076
171, 409110.356921, 3659516.926076
172, 409110.356921, 3659516.926076
173, 409110.170227, 3659516.927808
